"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Johnny Horton","Lily","F","58","Koch","131.81342","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Mean Mean Son Of A Gun","15"
"The Men They Couldn't Hang","Lily","F","59","Koch","251.14077","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Ironmasters","15"
"Rilo Kiley","Lily","F","60","Koch","234.03057","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","The Absence Of God (Album Version)","15"
"Shwayze","Lily","F","61","Koch","201.63873","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Lost My Mind","15"
"Bram Vermeulen","Lily","F","62","Koch","251.42812","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Mamma","15"
"Death Cab for Cutie","Lily","F","63","Koch","189.3873","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","I Will Follow You into the Dark (Album Version)","15"
"Dwight Yoakam","Lily","F","64","Koch","239.3073","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","You're The One","15"
"Jadakiss / Ghostface Killah / Raekwon","Lily","F","65","Koch","173.76608","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Cartel Gathering","15"
"Rosana","Lily","F","66","Koch","256.31302","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Si tu no estas","15"
"The Killers","Lily","F","67","Koch","230.39955","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","The Ballad of Michael Valentine","15"
"Alliance Ethnik","Lily","F","68","Koch","195.94404","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","SinceritÃÂ© Et Jalousie","15"
"Enya","Lily","F","69","Koch","289.802","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","China Roses","15"
"Aya RL","Lily","F","70","Koch","225.43628","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Jazz","15"
"Clor","Ryan","M","0","Smith","227.68281","free","San Jose-Sunnyvale-Santa Clara, CA","820","Love + Pain","26"
"Alejandro Fernandez","Ryan","M","1","Smith","262.84363","free","San Jose-Sunnyvale-Santa Clara, CA","820","Solitario Y Solo","26"
"Yonder Mountain String Band","Ryan","M","2","Smith","152.18893","free","San Jose-Sunnyvale-Santa Clara, CA","820","Midwest Gospel Radio","26"
"K'Naan","Ava","F","0","Robinson","220.49914","free","New Haven-Milford, CT","824","Wavin'  Flag","50"
"Cradle Of Filth","Kate","F","0","Harrell","453.09342","paid","Lansing-East Lansing, MI","828","Her Ghost In The Fog","97"
"Amanda Marshall","Kate","F","1","Harrell","274.28526","paid","Lansing-East Lansing, MI","828","Let It Rain","97"
"Rammstein","Kate","F","2","Harrell","272.40444","paid","Lansing-East Lansing, MI","828","Sonne","97"
"Cat Stevens","Kate","F","3","Harrell","167.6273","paid","Lansing-East Lansing, MI","828","If You Want To Sing Out_ Sing Out","97"
"Emma Shapplin","Kate","F","4","Harrell","267.62404","paid","Lansing-East Lansing, MI","828","Spente Le Stelle","97"
"Modest Mouse","Kate","F","5","Harrell","209.52771","paid","Lansing-East Lansing, MI","828","Float On","97"
"Flaco Jimenez","Kate","F","6","Harrell","155.81995","paid","Lansing-East Lansing, MI","828","En El Cielo No Hay Cerveza (In Heaven There Is No Beer)","97"
"Modest Mouse","Kate","F","7","Harrell","209.52771","paid","Lansing-East Lansing, MI","828","Float On","97"
"Cedric Gervais feat. Second Sun","Kate","F","8","Harrell","230.32118","paid","Lansing-East Lansing, MI","828","Pills (Radio Edit) (Radio Edit)","97"
"Sheena Easton","Kate","F","9","Harrell","239.62077","paid","Lansing-East Lansing, MI","828","Strut (1993 Digital Remaster)","97"
"Everything But The Girl","Kate","F","10","Harrell","218.74893","paid","Lansing-East Lansing, MI","828","My Baby Don't Love Me","97"
"Florence + The Machine","Kate","F","11","Harrell","219.66322","paid","Lansing-East Lansing, MI","828","Dog Days Are Over (Radio Edit)","97"
"BoDeans","Kate","F","12","Harrell","354.01098","paid","Lansing-East Lansing, MI","828","Naked (Live)","97"
"OneRepublic","Kate","F","13","Harrell","208.14322","paid","Lansing-East Lansing, MI","828","Apologize","97"
"Miley Cyrus","Kate","F","14","Harrell","194.45506","paid","Lansing-East Lansing, MI","828","Full Circle","97"
"Coldplay","Kate","F","15","Harrell","139.12771","paid","Lansing-East Lansing, MI","828","Don't Panic","97"
"Atreyu","Kate","F","16","Harrell","308.37506","paid","Lansing-East Lansing, MI","828","You Were The King_ Now You're Unconscious (Album Version)","97"
"Bruce Springsteen","Kate","F","17","Harrell","270.54975","paid","Lansing-East Lansing, MI","828","Born To Run","97"
"BjÃÂ¶rk","Kate","F","18","Harrell","348.57751","paid","Lansing-East Lansing, MI","828","Undo","97"
"Big Shug","Kate","F","19","Harrell","140.56444","paid","Lansing-East Lansing, MI","828","It Just Don't Stop","97"
"The Wallflowers","Kate","F","20","Harrell","315.24526","paid","Lansing-East Lansing, MI","828","Be Your Own Girl","97"
"Chris Brown","Kate","F","21","Harrell","203.80689","paid","Lansing-East Lansing, MI","828","Ain't No Way (You Won't Love Me)","97"
"Charly GarcÃÂ­a","Kate","F","22","Harrell","231.73179","paid","Lansing-East Lansing, MI","828","Filosofia Barata Y Zapatos De Goma","97"
"N.W.A ft. Eazy-E","Kate","F","23","Harrell","338.18077","paid","Lansing-East Lansing, MI","828","Boyz-N-The-Hood","97"
"The Mighty Mighty Bosstones","Kate","F","24","Harrell","158.87628","paid","Lansing-East Lansing, MI","828","1/2/2008","97"
"Beastie Boys","Kate","F","25","Harrell","211.722","paid","Lansing-East Lansing, MI","828","Unite (2009 Digital Remaster)","97"
"Yuksek","Kate","F","26","Harrell","218.95791","paid","Lansing-East Lansing, MI","828","Take A Ride","97"
"Fernando Ubiergo","Kate","F","27","Harrell","218.74893","paid","Lansing-East Lansing, MI","828","Cuando Agosto Era 21","97"
"Phoenix","Kate","F","28","Harrell","192.86159","paid","Lansing-East Lansing, MI","828","Napoleon Says","97"
"Radney Foster","Jayden","M","0","Fox","288.96608","free","New Orleans-Metairie, LA","790","Sweet And Wild","101"
"Neneh Cherry","Jayden","M","1","Fox","232.202","free","New Orleans-Metairie, LA","790","Manchild","101"
"Hooligans","Ayla","F","0","Johnson","189.98812","free","Santa Rosa, CA","785","Szex & KV","63"
"Kid Cudi / MGMT / Ratatat","Lily","F","0","Burns","295.67955","free","New York-Newark-Jersey City, NY-NJ-PA","786","Pursuit Of Happiness (nightmare)","32"
"Foals","Morris","M","0","Gilmore","316.89098","free","Raleigh, NC","351","Blue Blood","23"
"'N Sync/Phil Collins","Morris","M","1","Gilmore","143.64689","free","Raleigh, NC","351","Trashin' The Camp (Phil And 'N Sync Version)","23"
"Kristian Stanfill","Jayden","M","0","Fox","287.50322","free","New Orleans-Metairie, LA","838","I Need You","101"
"Enrique Iglesias","Jayden","M","1","Fox","241.42322","free","New Orleans-Metairie, LA","838","Tired Of Being Sorry","101"
"Michael Cretu","Jayden","M","2","Fox","301.06077","free","New Orleans-Metairie, LA","838","The Invisible Man","101"
"Tommy Emmanuel","Jayden","M","3","Fox","168.14975","free","New Orleans-Metairie, LA","838","Windy & Warm","101"
"Cherise","Stefany","F","0","White","229.69424","free","Lubbock, TX","772","No Good 4 You","83"
"Anna Waronker","Jayden","F","0","Duffy","189.6224","free","Seattle-Tacoma-Bellevue, WA","662","Nothing Personal","76"
"King ChangÃÂ³","Cecilia","F","0","Owens","340.74077","free","Atlanta-Sandy Springs-Roswell, GA","763","ConfesiÃÂ³n","6"
"Gang Of Four","Cecilia","F","1","Owens","193.14893","free","Atlanta-Sandy Springs-Roswell, GA","763","I Found That Essence Rare","6"
"Line Renaud","Cecilia","F","2","Owens","176.16934","free","Atlanta-Sandy Springs-Roswell, GA","763","Le Soir","6"
"the bird and the bee","Tegan","F","2","Levine","198.1122","paid","Portland-South Portland, ME","823","Last Day Of Our Love","80"
"The Killers","Jayden","M","32","Graves","246.80444","paid","Marinette, WI-MI","594","Read My Mind","25"
"Tamia","Jayden","M","33","Graves","243.09506","paid","Marinette, WI-MI","594","Officially Missing You (Radio Version)","25"
"Randy Crawford","Jayden","M","34","Graves","270.75873","paid","Marinette, WI-MI","594","Almaz","25"
"Frumpies","Jayden","M","35","Graves","134.47791","paid","Marinette, WI-MI","594","Hello Kitty","25"
"Julia Fordham","Jayden","M","36","Graves","279.50975","paid","Marinette, WI-MI","594","Girlfriend","25"
"The Black Keys","Jayden","M","37","Graves","239.59465","paid","Marinette, WI-MI","594","Unknown Brother","25"
"Georgia Satellites","Jayden","M","38","Graves","178.88608","paid","Marinette, WI-MI","594","Battleship Chains (LP Version)","25"
"M.I.A.","Jayden","M","40","Graves","206.13179","paid","Marinette, WI-MI","594","Paper Planes","25"
"Phish","Jayden","M","41","Graves","319.29424","paid","Marinette, WI-MI","594","Prince Caspian","25"
"Dislocation Dance","Maia","F","0","Burke","122.87955","free","Houston-The Woodlands-Sugar Land, TX","628","With A Smile On Your Face And A Frown In Your Heart","51"
"The Black Keys","Jayden","M","42","Graves","238.62812","paid","Marinette, WI-MI","594","Strange Times","25"
"John Hiatt","Jayden","M","43","Graves","242.442","paid","Marinette, WI-MI","594","Have A Little Faith In Me","25"
"Elvis Costello","Jayden","M","44","Graves","226.0371","paid","Marinette, WI-MI","594","Watching The Detectives","25"
"Son House","Jayden","M","45","Graves","239.38567","paid","Marinette, WI-MI","594","Death Letter Blues (Live)","25"
"Cyndi Lauper","Jayden","M","46","Graves","231.81016","paid","Marinette, WI-MI","594","She Bop","25"
"ÃÂtienne Daho","Jayden","M","47","Graves","231.3922","paid","Marinette, WI-MI","594","Paris Ailleurs (Live 1992)","25"
"Dragonforce","Jayden","M","48","Graves","345.5473","paid","Marinette, WI-MI","594","Cry of the Brave","25"
"Rise Against","Jayden","M","49","Graves","242.25914","paid","Marinette, WI-MI","594","Savior","25"
"Emmy The Great","Noah","M","0","Chavez","204.79955","free","Ogden-Clearfield, UT","530","Mia","94"
"Kings Of Leon","Jayden","M","50","Graves","231.81016","paid","Marinette, WI-MI","594","Use Somebody","25"
"Avenged Sevenfold","Jayden","M","51","Graves","283.76771","paid","Marinette, WI-MI","594","Unholy Confessions","25"
"A.B. Quintanilla III Y Los Kumbia Kings","Jayden","M","52","Graves","196.77995","paid","Marinette, WI-MI","594","Te Quiero A Ti","25"
"Coldplay","Jayden","M","53","Graves","228.62322","paid","Marinette, WI-MI","594","Only Superstition","25"
"B.o.B","Jayden","M","54","Graves","269.63546","paid","Marinette, WI-MI","594","Nothin' On You [feat. Bruno Mars] (Album Version)","25"
"Crystal Castles","Jayden","M","55","Graves","252.89098","paid","Marinette, WI-MI","594","Baptism","25"
"Justin Nozuka","Jayden","M","56","Graves","213.62893","paid","Marinette, WI-MI","594","Mr Therapy Man","25"
"Blackmore's Night","Jayden","M","57","Graves","201.40363","paid","Marinette, WI-MI","594","Sister Gypsy","25"
"Beirut","Kinsley","F","1","Young","239.0722","paid","Red Bluff, CA","658","Fountains And Tramways","85"
"Beck","Jayden","M","58","Graves","304.50893","paid","Marinette, WI-MI","594","End Of The Day","25"
"Arctic Monkeys","Kinsley","F","2","Young","177.84118","paid","Red Bluff, CA","658","Fake Tales Of San Francisco (Explicit)","85"
"Van Halen","Lily","F","0","Burns","227.44771","free","New York-Newark-Jersey City, NY-NJ-PA","727","Ain't Talkin'  'Bout Love (Remastered Version)","32"
"Secret Garden","Jayden","M","63","Graves","180.21832","paid","Marinette, WI-MI","594","Atlantia","25"
"Snow Patrol","Kinsley","F","3","Young","274.49424","paid","Red Bluff, CA","658","Chasing Cars","85"
"Rihanna","Lily","F","3","Burns","239.75138","free","New York-Newark-Jersey City, NY-NJ-PA","727","G4L","32"
"Bayside","Jayden","M","64","Graves","180.27057","paid","Marinette, WI-MI","594","Duality (Album Version)","25"
"Todd Barry","Kinsley","F","4","Young","126.82404","paid","Red Bluff, CA","658","Sugar Ray (LP Version)","85"
"Bayside","Jayden","M","65","Graves","243.64363","paid","Marinette, WI-MI","594","Montauk","25"
"Viki Mosholiou","Kinsley","F","5","Young","169.84771","paid","Red Bluff, CA","658","Milo Gia Ta Pedia Mou (2006 Digital Remaster)","85"
"Hatebreed","Kinsley","F","6","Young","124.42077","paid","Red Bluff, CA","658","Worlds Apart (Album Version)","85"
"Sonny Boy Williamson","Jayden","M","66","Graves","152.24118","paid","Marinette, WI-MI","594","Don't Start Me Talkin'","25"
"Shattered Realm","Kinsley","F","7","Young","108.45995","paid","Red Bluff, CA","658","Devil In Disguise","85"
"Timbaland / Katy Perry","Jayden","M","67","Graves","238.70649","paid","Marinette, WI-MI","594","If We Ever Meet Again","25"
"Sam and Dave","Kinsley","F","8","Young","157.28281","paid","Red Bluff, CA","658","Hold on I'm Coming","85"
"Sea Wolf","Kinsley","F","9","Young","225.802","paid","Red Bluff, CA","658","Black Dirt (Album)","85"
"Apocalyptica featuring Corey Taylor","Jayden","M","68","Graves","214.12526","paid","Marinette, WI-MI","594","I'm Not Jesus","25"
"Bomfunk MC's","Kinsley","F","10","Young","225.4624","paid","Red Bluff, CA","658","Rocking_ Just To Make Ya Move","85"
"Jets To Brazil","Jayden","M","69","Graves","571.03628","paid","Marinette, WI-MI","594","Rocket Boy","25"
"Tavares","Kinsley","F","11","Young","394.00444","paid","Red Bluff, CA","658","Heaven Must Be Missing An Angel","85"
"Maria BethÃÂ¢nia","Jayden","M","74","Graves","254.06649","paid","Marinette, WI-MI","594","Samba De Roda/Marinheiro SÃÂ³ (Medley) (Live)","25"
"Justin Bieber","Kinsley","F","12","Young","220.89098","paid","Red Bluff, CA","658","Somebody To Love","85"
"Van Halen","Kinsley","F","13","Young","272.32608","paid","Red Bluff, CA","658","Feels So Good (Remastered Single Version)","85"
"Julieta Venegas A Dueto Con Dante","Jayden","M","75","Graves","236.9824","paid","Marinette, WI-MI","594","Primer Dia","25"
"Apocalyptica","Jayden","M","76","Graves","409.86077","paid","Marinette, WI-MI","594","Coma","25"
"The Wreckers","Kinsley","F","14","Young","171.36281","paid","Red Bluff, CA","658","Stand Still_ Look Pretty [Live]","85"
"Prince & The Revolution","Kinsley","F","15","Young","227.65669","paid","Red Bluff, CA","658","Kiss (LP Version)","85"
"Third Eye Blind","Jayden","M","77","Graves","319.79057","paid","Marinette, WI-MI","594","God Of Wine (2006 Remastered LP Version)","25"
"Dr. Dre / Eminem","Kinsley","F","16","Young","222.27546","paid","Red Bluff, CA","658","Forgot About Dre","85"
"Symphony X","Kinsley","F","17","Young","318.37995","paid","Red Bluff, CA","658","Evolution (the Grand Design)","85"
"Streetlight Manifesto","Jayden","M","78","Graves","180.79302","paid","Marinette, WI-MI","594","Keasbey Nights (LP Version)","25"
"Amos Lee","Kinsley","F","18","Young","169.16853","paid","Red Bluff, CA","658","Soul Suckers","85"
"The Gabe Dixon Band","Kinsley","F","19","Young","296.85506","paid","Red Bluff, CA","658","Disappear","85"
"Mogwai","Kinsley","F","20","Young","473.25995","paid","Red Bluff, CA","658","Thank You Space Expert","85"
"Mystery Jets","Kinsley","F","21","Young","212.32281","paid","Red Bluff, CA","658","You Can't Fool Me Dennis (Album version)","85"
"Mates of State","Kinsley","F","22","Young","227.36934","paid","Red Bluff, CA","658","Parachutes (Funeral Song) (LP Version)","85"
"R.E.M.","Kinsley","F","23","Young","217.99138","paid","Red Bluff, CA","658","Can't Get There From Here","85"
"Taylor Swift","Kinsley","F","24","Young","246.282","paid","Red Bluff, CA","658","The Best Day","85"
"Blockhead","Aiden","M","0","Hess","285.98812","free","La Crosse-Onalaska, WI-MN","710","Carnivores Unite","86"
"MC Hammer","Aiden","M","1","Hess","256.86159","free","La Crosse-Onalaska, WI-MN","710","U Can't Touch This","86"
"Sally Shapiro","Aiden","M","2","Hess","392.82893","free","La Crosse-Onalaska, WI-MN","710","Miracle (Extended Mix)","86"
"Holy Fuck","Lily","F","2","Koch","362.762","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","P.I.G.S.","15"
"Angus & Julia Stone","Lily","F","3","Koch","218.8273","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Soldier","15"
"Los Fabulosos Cadillacs","Lily","F","4","Koch","275.69587","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Siguiendo La Luna","15"
"A Sunny Day In Glasgow","Lily","F","5","Koch","22.04689","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Lights","15"
"Mariah Carey Featuring Cameo","Lily","F","6","Koch","229.22404","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Loverboy","15"
"Tego Calderon","Lily","F","7","Koch","242.18077","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Metele Sazon","15"
"Bloodhound Gang","Lily","F","8","Koch","172.01587","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Foxtrot Uniform Charlie Kilo","15"
"Kings Of Leon","Lily","F","10","Koch","256.36526","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","The Runner","15"
"Iron Maiden","Lily","F","11","Koch","233.76934","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Run To The Hills (1998 Digital Remaster)","15"
"CafÃÂ© Tacvba","Lily","F","12","Koch","232.72444","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","MarÃÂ­a","15"
"Blink-182","Lily","F","13","Koch","280.00608","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","All Of This","15"
"Band Of Horses","Lily","F","14","Koch","321.14893","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","The Funeral (Album Version)","15"
"Primus","Lily","F","15","Koch","146.15465","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","De Anza Jig","15"
"Tom McRae","Lily","F","16","Koch","265.27302","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Walking 2 Hawaii","15"
"ALO (Animal Liberation Orchestra)","Lily","F","17","Koch","229.77261","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Spectrum","15"
"Yelle","Lily","F","18","Koch","192.31302","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Je Veux Te Voir (Radio Edit)","15"
"Kings Of Leon","Lily","F","19","Koch","201.79546","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Revelry","15"
"Foo Fighters","Lily","F","20","Koch","250.14812","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Everlong","15"
"Kanye West","Lily","F","21","Koch","311.84934","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Stronger","15"
"Annie Lennox","Lily","F","22","Koch","256.57424","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Wonderful","15"
"Madeleine Peyroux","Lily","F","23","Koch","214.77832","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Instead","15"
"Miley Cyrus","Lily","F","24","Koch","236.85179","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","The Climb","15"
"Coldplay","Lily","F","25","Koch","268.38159","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Yellow","15"
"Jag Panzer","Lily","F","26","Koch","217.99138","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Reign Of The Tyrants","15"
"The Notorious B.I.G.","Lily","F","27","Koch","285.93587","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Gimme The Loot (Album Version)","15"
"Emiliana Torrini","Lily","F","28","Koch","186.122","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Ha Ha (KCRW.com Presents)","15"
"Streetlight Manifesto","Lily","F","29","Koch","137.19465","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Punk Rock Girl","15"
"Dropkick Murphys","Lily","F","30","Koch","161.01832","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","The Auld Triangle (Album Version)","15"
"Carlo Siliotto","Cierra","F","1","Finley","175.38567","free","Richmond, VA","473","Kazakhstan 1710","96"
"The Raconteurs","Lily","F","31","Koch","265.50812","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Top Yourself","15"
"The Academy Is...","Cierra","F","2","Finley","207.96036","free","Richmond, VA","473","We've Got A Big Mess On Our Hands (Album Edit)","96"
"Justin Bieber","Cecilia","F","1","Owens","222.92853","free","Atlanta-Sandy Springs-Roswell, GA","735","Stuck In The Moment","6"
"Spiritual Beggars","Lily","F","32","Koch","358.24281","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Nowhere To Go","15"
"Bon Iver","Lily","F","33","Koch","238.49751","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Skinny Love","15"
"The Living End","Lily","F","34","Koch","229.0673","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Prisoner Of Society (Album Version)","15"
"Moby","Lily","F","35","Koch","196.75383","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Lift Me Up","15"
"Florence + The Machine","Lily","F","36","Koch","258.55955","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Cosmic Love","15"
"Miami Horror","Lily","F","37","Koch","386.5073","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Sometimes (Hook N Sling Remix)","15"
"Nacho Chapado feat. Stephen Massa","Lily","F","38","Koch","479.7122","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","B Somebody","15"
"Kate Nash","Lily","F","39","Koch","179.48689","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Pumpkin Soup","15"
"Benny Neyman","Lily","F","40","Koch","224.7571","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Waarom Fluister Ik Je Naam Nog","15"
"Boyzone","Lily","F","41","Koch","219.81995","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","All That I Need","15"
"Philip Glass","Lily","F","42","Koch","426.78812","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Chinese Invade","15"
"The Pussycat Dolls","Lily","F","43","Koch","225.61914","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Buttons","15"
"Madonna","Lily","F","44","Koch","260.75383","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Beautiful Stranger","15"
"Asking Alexandria","Lily","F","45","Koch","248.99873","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Hey There Mr. Brooks (feat. Feat. Shawn Mike of Alesana)","15"
"Pavement","Lily","F","46","Koch","99.16036","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Mercy:The Laundromat","15"
"Jack Johnson","Lily","F","47","Koch","236.93016","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Bubble Toes","15"
"Train","Lily","F","48","Koch","244.1922","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Calling All Angels","15"
"Cam'Ron / Juelz Santana","Lily","F","49","Koch","208.3522","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Oh Boy","15"
"Sugar Ray","Lily","F","50","Koch","218.33098","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","When It's Over (Remastered Album Version)","15"
"BeyoncÃÂ©","Lily","F","51","Koch","209.18812","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Broken-Hearted Girl","15"
"Faith No More","Lily","F","52","Koch","249.86077","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Last Cup Of Sorrow","15"
"Jokeren","Lily","F","53","Koch","239.49016","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Kvinde Din - MÃÂ¸gluder","15"
"Ween","Lily","F","54","Koch","250.17424","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Demon Sweat","15"
"King Diamond","Lily","F","55","Koch","408.47628","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","No Presents For Christmas","15"
"Mint Condition","Lily","F","56","Koch","279.06567","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Somethin' (feat. Phonte from Little Brother)","15"
"Delorean","Lily","F","57","Koch","272.63955","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Complexity Reducer","15"
"MylÃÂ¨ne Farmer","Lily","F","58","Koch","257.2273","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Porno Graphique","15"
"Green Day","Lily","F","59","Koch","194.06322","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Horseshoes And Handgrenades (Album Version)","15"
"Disturbed","Devin","M","0","Larson","185.65179","free","Tampa-St. Petersburg-Clearwater, FL","746","Sacred Lie (Album Version)","60"
"The New Pornographers","Lily","F","60","Koch","256.41751","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Adventures In Solitude","15"
"Sugarcult","Devin","M","1","Larson","199.13098","free","Tampa-St. Petersburg-Clearwater, FL","746","Saying Goodbye","60"
"Plies","Lily","F","61","Koch","231.6273","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Goons Lurkin (Explicit Album Version)","15"
"Daft Punk","Devin","M","2","Larson","207.59465","free","Tampa-St. Petersburg-Clearwater, FL","746","Aerodynamic","60"
"Train","Ryan","M","0","Smith","216.76363","free","San Jose-Sunnyvale-Santa Clara, CA","751","Hey_ Soul Sister","26"
"The Smiths","Emily","F","0","Benson","242.9122","paid","Augusta-Richmond County, GA-SC","720","There Is A Light That Never Goes Out","58"
"New Radicals","Harper","M","0","Barrett","300.82567","paid","New York-Newark-Jersey City, NY-NJ-PA","747","You Get What You Give","42"
